项目名称,除外内容,编码,计价单位,一级机构价格,id,说明,财务分类,项目内涵
硅油取出术,膨胀气体、玻璃体切割刀,330407014,单侧,1834.4,3994,,G,
早产儿视网膜病变光凝术,,330407015S,次/只,712,3995,,G,
早产儿视网膜病变冷凝术,,330407016S,次/只,632,3996,,G,
人工玻璃体球囊眼内植入术,人工玻璃体球囊、穿刺刀、粘弹剂、气交管、硅油、重水、眼用镊（剪）,330407017S,次,1600,3997,,G,剪开球结膜，行巩膜穿刺制作巩膜切口，经植入器植入人工玻璃体球囊，球囊内注入硅油，结扎固定球囊引流阀于巩膜壁，粘弹剂注入前房成形，缝合切口。含硅油填充、前房成形，不含玻璃体切除。
共同性斜视矫正术, ,330408001,一条肌肉,624,3998,,G,含水平眼外肌后徙、边缘切开、断腱、前徙、缩短、折叠。
共同性斜视矫正术加收(超过一条肌肉),,330408001-1,一条肌肉,312,3999,,G,
共同性斜视矫正术加收(伴有另一种斜视同时手术),,330408001-2,一条肌肉,312,4000,,G,
共同性斜视矫正术加收(二次手术),,330408001-3,次,499.20 ,4001,,G,
非共同性斜视矫正术, ,330408002,一条肌肉,1000,4002,,G,含结膜及结膜下组织分离、松解、肌肉分离及共同性斜视矫正术。
非共同性斜视矫正术加收(超过一条肌肉),,330408002-1,一条肌肉,500,4003,,G,
非共同性斜视矫正术加收(二次手术),,330408002-2,次,500,4004,,G,
非共同性斜视矫正术加收(结膜、肌肉及眼眶修复),,330408002-3,一条肌肉,500,4005,,G,
非常规眼外肌手术, ,330408003,次,1762.40 ,4006,,G,指肌肉联扎术、移位术、延长术、调整缝线术、眶壁固定术。
眼震矫正术, ,330408004,次,1558.4,4007,,G,
眼直肌睫状血管分离术,,330408005S,一条肌肉,800,4008,,G,
眼直肌睫状血管分离术加收(超过一条肌肉),,330408005S-1,一条肌肉,400,4009,,G,
眼直肌睫状血管分离术加收(二次手术),,330408005S-2,次,400,4010,,G,
球内磁性异物取出术,,330409001,次,800,4011,,G,
球内非磁性异物取出术,,330409002,次,1088,4012,,G,
球壁异物取出术,,330409003,次,1290.4,4013,,G,
眶内异物取出术,,330409004,次,1060.8,4014,,G,
眼球裂伤缝合术,玻璃体切割头,330409005,次,1411.2,4015,,G,指角膜、巩膜裂伤缝合。
巩膜探查术,玻璃体切割头,330409005-1,次,1411.2,4016,仅独立开展本手术方可收费。,G,
甲状腺突眼矫正术,,330409006,次,456,4017,,G,
眼内容摘除术,羟基磷灰石眼台,330409007,次,480,4018,,G,
眼球摘除术,,330409008,次,480,4019,,G,
眼球摘除+植入术,羟基磷灰石眼台,330409009,次,760,4020,,G,含取真皮脂肪垫。
义眼安装,,330409010,次,144,4021,,G,
义眼台打孔术,,330409011,次,暂不定价,4022,,G,
活动性义眼眼座植入术,羟基磷灰石眼台,330409012,次,960,4023,,G,
眶内血肿穿刺术,,330409013,单侧,456,4024,,G,
眶内肿物摘除术,,330409014,次,1472,4025,,G,指前路摘除、眶尖部肿物摘除术。
侧劈开眶眶内肿物摘除术,,330409014-1,次,1766.4,4026,,G,
泪道肿物切除术,,330409014-2,次,1472,4027,,G,
眶内容摘除术,,330409015,次,968,4028,,G,不含植皮。
上颌骨切除合并眶内容摘除术,,330409016,次,1292,4029,,G,
眼窝填充术,羟基磷灰石眼台、特殊填充材料,330409017,次,1147.2,4030,,G,
眼窝再造术,球后假体材料,330409018,次,1121.6,4031,,G,
眼眶壁骨折整复术,硅胶板、羟基磷灰石板、特殊填充材料,330409019,次,1208,4032,,G,含外侧开眶钛钉、钛板固定术。
眶骨缺损修复术,羟基磷灰石板、特殊填充材料,330409020,次,1109.6,4033,,G,
眶膈修补术,羟基磷灰石眼台、特殊填充材料,330409021,次,1147.2,4034,,G,
眼眶减压术,,330409022,单眼,1160,4035,,G,
视神经减压术,,330409024,次,2400.00 ,4036,,G,
眶距增宽症整形术,特殊固定材料,330409025,次,4104,4037,,G,
隆眉弓术,,330409026,双侧,1140,4038,,G,
眉畸形矫正术,,330409027,次,760,4039,,G,指“八”字眉、眉移位等。
眉缺损修复术,,330409028,次,1140,4040,,G,指部分缺损、全部缺损。
眉缺损修复术+岛状头皮瓣切取移转术,,330409028-1,次,1368,4041,,G,指部分缺损、全部缺损。
义眼座暴露修补术,义眼座,330409029S,次/只,988,4042,,G,含义眼座调整。
视网膜母细胞瘤冷凝术,,330409030S,次/只,1756,4043,,G,使用冷冻治疗仪的低温冷冻头冷冻瘤体，术后包眼。
义眼台取出术,,330409031S,次,840,4044,,G,剪开结膜及筋膜，分离眼外肌，取出义眼台，分层缝合筋膜及结膜，加压包扎。
5.耳部手术,,3305,,,4045,,G,
5.1 外耳手术,,330501,,,4046,,G,
耳廓软骨膜炎清创术,,330501001,次,265.6,4047,,G,
耳廓脓肿切排清创术,,330501001-1,次,265.6,4048,,G,
耳道异物取出术,,330501002,次,120,4049,,G,
耳廓恶性肿瘤切除术,,330501003,次,228,4050,,G,
耳颞部血管瘤切除术,,330501004,次,912,4051,,G,
耳息肉摘除术,,330501005,次,152,4052,,G,
耳前瘘管切除术,,330501006,次,341.6,4053,,G,
耳腮裂瘘管切除术,,330501007,次,800,4054,,G,含面神经分离。
耳后瘘孔修补术,,330501008,次,265.6,4055,,G,
耳前瘘管感染切开引流术,,330501009,次,160,4056,,G,
外耳道良性肿物切除术,,330501010,次,352.8,4057,,G,
耳前良性肿物切除术,,330501010-1,次,352.8,4058,,G,
耳后良性肿物切除术,,330501010-2,次,352.8,4059,,G,
外耳道肿物活检术,,330501011,次,120,4060,,D,
外耳道疖脓肿切开引流术,,330501012,次,93.6,4061,,G,
外耳道恶性肿瘤切除术,,330501013,次,608,4062,,G,
完全断耳再植术,,330501014,次,1140,4063,,G,
部分断耳再植术,,330501015,次,912,4064,,G,
一期耳廓成形术,,330501016,次,1200,4065,,G,含取材、植皮。
分期耳廓成形术,,330501017,次,760,4066,,G,含取材、植皮。
耳廓再造术,,330501018,次,1200,4067,,G,含部分再造；不含皮肤扩张术。
耳廓畸形矫正术,特殊植入材料,330501019,次,788,4068,,G,指招风耳、隐匿耳、巨耳、扁平耳、耳垂畸形矫正术等。
耳廓软骨取骨术,,330501020,次,304,4069,,G,含耳廓软骨制备。 
外耳道成形术,,330501021,次,760,4070,,G,
5.2 中耳手术,,330502,,,4071,,G,
鼓膜置管术,,330502001,次,484,4072,,G,
鼓膜切开术,,330502002,次,128,4073,,G,
耳显微镜下鼓膜修补术,,330502003,次,912,4074,,G,指内植法、夹层法、外贴法。
经耳内镜鼓膜修补术,,330502004,次,760,4075,,G,含取筋膜。
镫骨手术,,330502005,次,1477.60 ,4076,,G,
镫骨撼动术,,330502005-1,次,912,4077,,G,
镫骨底板切除术,,330502005-2,次,912,4078,,G,
二次镫骨底板切除术,,330502006,次,1010.4,4079,,G,
二氧化碳激光镫骨底板开窗术,,330502007,次,1520,4080,,G,
听骨链松解术,,330502008,次,912,4081,,G,
鼓室成形术,,330502009,次,2080.80 ,4082,,G,指Ⅰ—Ⅴ型成形术。含听骨链重建、鼓膜修补、病变探查手术。
人工听骨听力重建术,,330502010,次,2714.40 ,4083,,G,
经耳内镜鼓室探查术,,330502011,次,760,4084,仅独立开展本手术方可收费。,D,含鼓膜切开、病变探查切除。
咽鼓管扩张术,,330502012,次,480,4085,,G,
咽鼓管再造术,,330502013,次,912,4086,,G,含移植和取材。
单纯乳突凿开术,,330502014,次,753.6,4087,,G,含鼓室探查术、病变清除；不含鼓室成形。
完壁式乳突根治术,,330502015,次,1287.20 ,4088,,G,含鼓室探查术、病变清除；不含鼓室成形。
开放式乳突根治术,,330502016,次,1280.80 ,4089,,G,含鼓室探查术；不含鼓室成形和听骨链重建。
乳突改良根治术,,330502017,次,1200,4090,,G,含鼓室探查术；不含鼓室成形和听骨链重建。
上鼓室鼓窦凿开术,,330502018,次,1286.40 ,4091,,G,含鼓室探查术。
经耳脑脊液耳漏修补术,,330502019,次,1600,4092,,G,含中耳开放、鼓室探查、乳突凿开及充填。
电子耳蜗植入术,电子耳蜗,330502020,次,3388.00 ,4093,,G,
5.3 内耳及其他耳部手术,,330503,,,4094,,G,
内耳窗修补术,,330503001,次,912,4095,,G,
内耳圆窗修补术,,330503001-1,次,912,4096,,G,
内耳前庭窗修补术,,330503001-2,次,912,4097,,G,
内耳开窗术,,330503002,次,1317.60 ,4098,,G,
经前庭窗迷路破坏术,,330503002-1,次,912,4099,,G,
半规管嵌顿术,,330503002-2,次,912,4100,,G,
内耳外淋巴灌流术,,330503002-3,次,912,4101,,G,
内耳淋巴囊减压术,,330503003,次,960,4102,,G,
岩浅大神经切断术,,330503004,次,760,4103,,G,
翼管神经切断术,,330503005,次,476,4104,,G,
鼓丛切除术,,330503006,次,456,4105,,G,
鼓索神经切断术,,330503007,次,456,4106,,G,
经迷路听神经瘤切除术,,330503008,次,2739.20 ,4107,,G,
迷路后听神经瘤切除术,,330503008-1,次,1828,4108,,G,
颌内动脉插管灌注术,导管,330503009,次,668.8,4109,,G,
颞浅动脉插管灌注术,导管,330503009-1,次,668.8,4110,,G,
经迷路岩部胆脂瘤切除术,,330503010,次,1900,4111,,G,
经中颅窝岩部胆脂瘤切除术,,330503011,次,1900,4112,,G,
经迷路岩尖引流术,,330503012,次,1900,4113,,G,
经中颅窝岩尖引流术,,330503013,次,1900,4114,,G,
颞骨部分切除术,,330503014,次,1520,4115,,G,不含乳突范围。
颞骨次全切除术,,330503015,次,1520,4116,,G,指保留岩尖和部分鳞部。
颞骨全切术,,330503016,次,1577.6,4117,,G,不含颞颌关节的切除。
耳后骨膜下脓肿切开引流术,,330503017,次,380,4118,,G,
经乳突脑脓肿引流术,,330503018,次,1520,4119,,G,指颞叶、小脑、乙状窦周围脓肿、穿刺或切开引流。
经乳突硬膜外脓肿引流术,,330503019,次,1520,4120,,G,含乳突根治手术；指穿刺或切开引流。
6.1 鼻部手术,,330601,,,4121,,G,
鼻外伤清创缝合术,,330601001,次,224,4122,,G,
鼻骨骨折整复术,,330601002,次,160,4123,,G,
鼻部分缺损修复术,植入材料,330601003,次,760,4124,,G,不含另外部位取材。
鼻继发畸形修复术,特殊植入材料,330601004,次,760,4125,,G,含鼻畸形矫正术；不含骨及软骨取骨术。
前鼻孔成形术,,330601005,次,286.4,4126,,G,不含另外部位取材。
鼻部神经封闭术,,330601006,次,77.6,4127,,G,
蝶腭神经封闭术,,330601006-1,次,77.6,4128,,G,
筛前神经封闭术,,330601006-2,次,77.6,4129,,G,
鼻腔异物取出术,,330601007,次,28,4130,,G,
下鼻甲部分切除术,,330601008,次,302.4,4131,,G,
中鼻甲部分切除术,,330601009,次,240,4132,,G,
鼻翼肿瘤切除成形术,,330601010,次,608,4133,,G,
鼻前庭囊肿切除术,,330601011,次,360,4134,,G,
鼻息肉摘除术,,330601012,次,433.60 ,4135,,G,
鼻中隔粘膜划痕术,,330601013,次,155.2,4136,,G,
鼻中隔矫正术,,330601014,次,840.00 ,4137,,G,含鼻中隔降肌附着过低矫正术。
鼻中隔软骨取骨术,,330601015,次,400,4138,,G,含鼻中隔软骨制备；不含鼻中隔弯曲矫正术。 
鼻中隔穿孔修补术,,330601016,次,760,4139,,G,含取材。
鼻中隔血肿切开引流术,,330601017,次,148,4140,,G,
鼻中隔脓肿切开引流术,,330601017-1,次,148,4141,,G,
筛动脉结扎术,,330601018,次,640,4142,,G,
筛前神经切断术,,330601019,次,608,4143,,G,
经鼻鼻侧鼻腔鼻窦肿瘤切除术,,330601020,次,920,4144,,G,不含另外部位取材。
经鼻鼻腔鼻窦肿瘤切除术,,330601021,次,1108.8,4145,,G,
隆鼻术后继发畸形矫正术,假体材料,330601023,次,988,4146,,G,
重度鞍鼻畸形矫正术,植入材料,330601024,次,1064,4147,,G,
鼻畸形矫正术,,330601025,次,1337.60 ,4148,,G,
鼻再造术,植入材料,330601026,次,1360,4149,,G,
鼻孔闭锁修复术,,330601027,次,960,4150,,G,
鼻孔狭窄修复术,,330601027-1,次,1305.60 ,4151,,G,
后鼻孔成形术,,330601028,次,1300.80 ,4152,,G,
鼻侧壁移位伴骨质充填术,,330601029,次,1008.8,4153,,G,
经鼻内镜鼻咽恶性肿瘤切除术,,330601030S,次,3692.00 ,4154,,G,
经鼻内镜鼻咽恶性肿瘤切除术+鼻甲粘膜瓣修复鼻咽创面,,330601030S-1,次,2984.8,4155,,G,
经鼻内镜下鼻甲黏膜下切除术,,330601032S,次,1400,4156,,G,鼻内镜下，收缩鼻腔后，沿下鼻甲缘切开分离黏骨膜，暴露下鼻甲骨，切除骨质，电动切割器从黏膜内切除部分组织，扩大鼻腔同期的空间，应用凡士林纱条或其它填塞材料填塞手术侧鼻腔。
经鼻内镜鼻咽良性肿物切除术,,330601033S,次,1554.4,4157,,G,适用于鼻内镜下鼻咽部良性肿物的切除。
经鼻内镜下鼻甲外移术,,330601037S,单侧,418.4,4158,,G,指下鼻甲骨折外移。
上颌窦鼻内开窗术,,330602001,次,584.8,4159,,G,指鼻下鼻道开窗。
上颌窦根治术(柯-路氏手术),,330602002,次,608,4160,,G,不含筛窦开放。
经上颌窦颌内动脉结扎术,,330602003,次,684,4161,,G,
鼻窦异物取出术,,330602004,次,684,4162,,G,
萎缩性鼻炎鼻腔缩窄术,,330602005,次,912,4163,,G,
鼻额管扩张术,,330602006,次,456,4164,,G,
鼻外额窦开放手术,,330602007,次,560,4165,,G,
鼻内额窦开放手术,,330602008,次,798.40 ,4166,,G,
鼻外筛窦开放手术,,330602009,次,600,4167,,G,含钩突切除。
鼻内筛窦开放手术,,330602010,次,560,4168,,G,
鼻外蝶窦开放手术,,330602011,次,608,4169,,G,
鼻内蝶窦开放手术,,330602012,次,1040,4170,,G,
经鼻内镜鼻窦手术,,330602013,,,4171,,G,
经鼻内镜额窦手术,,330602013-1,单侧,1512,4172,,G,
经鼻内镜上颌窦手术,,330602013-2,单侧,2248.00 ,4173,,G,
经鼻内镜筛窦手术,,330602013-3,单侧,1512,4174,,G,
经鼻内镜蝶窦手术,,330602013-4,单侧,1814.4,4175,,G,
全筛窦切除术,,330602014,次,1432.80 ,4176,,G,
鼻外脑膜脑膨出颅底修补术,,330603001,次,1140,4177,,G,
鼻内脑膜脑膨出颅底修补术,,330603002,次,1600,4178,,G,
经前颅窝鼻窦肿物切除术,,330603003,次,2568.8,4179,,G,含硬脑膜取材、颅底重建；不含其他部分取材。
经鼻视神经减压术,,330603004,次,2280,4180,,G,
鼻外视神经减压术,,330603005,次,1520,4181,,G,
经鼻内镜眶减压术,,330603006,次,2571.20 ,4182,含鼻内镜使用费。,G,
经鼻内镜脑膜修补术,,330603007,次,2280,4183,含鼻内镜使用费。,G,
乳牙拔除术,,330604001,每牙,6.40 ,4184,,G,
前牙拔除术,,330604002,每牙,16.00 ,4185,,G,含该区段多生牙。
前磨牙拔除术,,330604003,每牙,16,4186,,G,含该区段多生牙。
磨牙拔除术,,330604004,每牙,29.60 ,4187,,G,含该区段多生牙。
复杂牙拔除术,,330604005,每牙,96,4188,,G,指正常位牙齿因解剖变异、死髓或牙体治疗后其脆性增加、局部慢性炎症刺激使牙槽骨发生致密性改变、牙-骨间骨性结合、与上颌窦关系密切、增龄性变化等所致的拔除困难。
阻生牙拔除术,,330604006,每牙,64,4189,,G,含低位阻生、完全骨阻生的牙及多生牙。
拔牙创面搔刮术,填塞材料,330604007,每牙,21.60 ,4190,,G,含干槽症、拔牙后出血、拔牙创面愈合不良。
牙再植术,结扎固定材料,330604008,每牙,80,4191,,G,含嵌入、移位、脱落等；不含根管治疗。
牙移植术,结扎固定材料,330604009,每牙,160,4192,,G,指自体牙移植或异体牙移植；含准备受植区拔除供体牙、植入、缝合、固定；不含异体材料的保存、塑形及消毒、拔除异位供体牙。
牙槽骨修整术,,330604010,每牙,61.6,4193,,G,
牙槽嵴增高术,人工材料模型、模板,330604011,每牙,116,4194,,G,不含取骨术、取皮术。
颌骨隆突修整术,,330604012,次,116,4195,,G,
腭隆突修整术,,330604012-1,次,116,4196,,G,
上颌结节成形术,创面用材料、固定材料,330604013,次,341.6,4197,,G,不含取皮术。
口腔上颌窦瘘修补术,模型、创面用材料,330604014,次,360,4198,,G,含即刻修补。
上颌窦开窗异物取出术,,330604015,次,360,4199,,G,不含上颌窦根治术。
唇颊沟加深术,创面用材料、固定材料,330604016,次,328,4200,,G,"含取皮（粘膜）、植皮（粘膜）、皮（粘膜）片加压固定,供皮（粘膜）区创面处理；不含取皮术。"
修复前软组织成型术,腭护板、保护剂,330604017,次,224,4201,,G,含植皮及唇、颊、腭牙槽嵴顶部增生的软组织切除及成型；不含骨修整、取皮术。
阻生智齿龈瓣整形术,,330604018,每牙,84.00 ,4202,,G,含切除龈瓣及整形。
牙槽突骨折固定术,结扎固定材料,330604019,次,384,4203,,G,指结扎固定或牵引复位固定。含复位、固定、调颌。
颌骨病灶刮除术,,330604020,次,320,4204,,G,
皮肤瘘管切除术,,330604021,次,240,4205,,G,
根端囊肿摘除术,充填材料,330604022,每牙,192,4206,,G,不含根充。
牙齿萌出囊肿袋形术,填塞材料,330604023,每牙,80,4207,,G,
颌骨囊肿摘除术,,330604024,次,1280,4208,,G,不含拔牙、上颌窦根治术。
颌骨囊肿开窗治疗术,,330604024-1,次,1280,4209,,G,
牙外科正畸术,颌板、固定材料、腭护板,330604025,每牙,120,4210,,G,
根尖切除术,充填材料,330604026,每牙,189.6,4211,,G,含根尖搔刮、根尖切除、倒根充、根尖倒预备；不含显微根管手术。
根尖搔刮术,,330604027,每牙,148,4212,,G,
睡眠呼吸暂停综合征射频温控消融治疗术,,330604028,次,1520,4213,,G,"指鼻甲、软腭、舌根肥大,鼻鼾症,阻塞性睡眠呼吸暂停综合征。"
牙龈翻瓣术,牙周塞治,330604029,每牙,64,4214,,G,含牙龈切开、翻瓣、刮治及根面平整、瓣的复位缝合。
牙龈翻瓣术(根向、冠向复位切口或远中楔形切除),牙周塞治,330604029-1,每牙,109.60 ,4215,,G,
牙龈再生术,,330604030,每组,80,4216,,G,
牙龈切除术,牙周塞治,330604031,每牙,56,4217,,G,
牙龈成形术,牙周塞治,330604031-1,每牙,56,4218,,G,
显微根管外科手术,,330604032,每根管,304,4219,含显微镜使用费。,G,指显微镜下的进行根管内外修复及 根尖手术。
牙周骨成形手术,,330604033,每牙,76,4220,,G,含牙龈翻瓣术+牙槽骨切除及成形；不含术区牙周塞治。
牙冠延长术,,330604034,每牙,76,4221,,G,含牙龈翻瓣、牙槽骨切除及成形、牙龈成形；不含术区牙周塞治。
龈瘤切除术,牙周塞治剂、特殊材料,330604035,次,192,4222,,G,含龈瘤切除及牙龈修整。
牙周植骨术,骨粉等植骨材料,330604036,每牙,98.4,4223,,G,含牙龈翻瓣术+植入各种骨材料；不含牙周塞治、自体骨取骨术。
截根术,,330604037,每牙,136.8,4224,,G,含截断牙根、拔除断根、牙冠外形和断面修整；不含牙周塞治、根管口备洞及倒充填、牙龈翻瓣术。
分根术,,330604038,每牙,72,4225,,G,含截开牙冠、牙外形及断面分别修整成形；不含牙周塞治、牙备洞充填、牙龈翻瓣术。
半牙切除术,,330604039,每牙,88.00 ,4226,,G,"含截开牙冠、拔除牙齿的近或远中部分并保留另外一半,保留部分牙齿外形的修整成形；不含牙周塞治、牙备洞充填、牙龈翻瓣术。"
引导性牙周组织再生术,各种生物膜材料,330604040,每牙,152,4227,,G,含牙龈翻瓣术 + 生物膜放入及固定、龈瓣的冠向复位及固定；不含牙周塞治、根面处理、牙周植骨。
松动牙根管内固定术,特殊固定材料,330604041,每牙,136.8,4228,,G,含根管预备及牙槽骨预备、固定材料植入及粘接固定；不含根管治疗。
牙周组织瓣移植术,,330604042,每牙,160,4229,,G,"指游离龈瓣移植或牙龈结缔组织瓣移植、侧向转移瓣术、双乳头龈瓣转移瓣术；含受瓣区软组织预备（含牙龈半厚瓣翻瓣等）及硬组织预备（含根面刮治等）,含各种组织瓣的获得、制备、移植,组织瓣的转位,各种组织瓣的固定缝合；不含术区牙周塞治。"
牙周纤维环状切断术,特殊刀片,330604043,每牙,76,4230,,G,指正畸后牙齿的牙周纤维环状切断；不含术区牙周塞治。
口腔颌面部小肿物切除术,,330605001,次,231.20 ,4231,,G,指口腔、颌面部良性小肿物。
口腔颌面部神经纤维瘤切除成形术,,330605002,次,1120,4232,,G,含瘤体切除及邻位瓣修复。
颌下腺移植术,,330605003,次,760,4233,,G,"含带血管及导管的颌下腺解剖,受区颞肌切取及颞浅动静脉解剖及导管口易位。"
涎腺瘘切除修复术,,330605004,次,760,4234,,G,"含涎腺瘘切除及瘘修补,腮腺导管改道、成形、再造术。"
下颌骨部分切除术,特殊材料,330605005,次,1360,4235,,G,含下颌骨方块及区段切除；不含颌骨缺损修复。
下颌骨半侧切除术,斜面导板、特殊材料,330605006,次,1520,4236,,G,不含颌骨缺损修复。
下颌骨扩大切除术,斜面导板、特殊材料,330605007,次,1839.2,4237,,G,含大部分下颌骨或全下颌骨及邻近软组织切除；不含颌骨缺损修复。
下颌骨缺损钛板即刻植入术,钛板及钛钉特殊材料,330605008,次,1040,4238,,G,含骨断端准备、钛板植入及固定。
上颌骨部分切除术,腭护板、特殊材料,330605009,次,1024,4239,,G,含牙槽突水平以内上颌骨及其邻近软组织区域性切除。
上颌骨次全切除术,腭护板、特殊材料,330605010,次,1784.8,4240,,G,含牙槽突以上至鼻棘底以下上颌骨及其邻近软组织切除与植皮；不含取皮术。
上颌骨全切术,腭护板、特殊材料,330605011,次,1976,4241,,G,含整个上颌骨及邻近软组织切除与植皮；不含取皮术。
上颌骨扩大切除术,腭护板、特殊材料,330605012,次,2280,4242,,G,整个上颌骨及其周围邻近受侵骨组织及软组织切除与植皮；不含取皮术。
颌骨良性病变切除术,特殊材料,330605013,次,1611.20 ,4243,,G,指上、下颌骨骨髓炎、良性肿瘤、瘤样病变及各类囊肿的切除术（含刮治术）；不含松质骨或骨替代物的植入。
舌骨上淋巴清扫术,,330605014,次,600,4244,,G,
舌恶性肿物切除术,,330605015,次,1761.60 ,4245,,G,含舌整复（舌部分、半舌、全舌切除术）；不含舌再造术。
舌良性肿物切除术,,330605015-1,次,720,4246,,G,含舌整复（舌部分、半舌、全舌切除术）；不含舌再造术。
舌根部肿瘤切除术,,330605016,次,1368,4247,,G,指舌骨上进路。
颊部恶性肿物局部扩大切除术,,330605017,次,1188,4248,,G,含肿物切除及邻位瓣修复；不含颊部大面积缺损游离皮瓣及带蒂皮瓣修复。
口底皮样囊肿摘除术,,330605018,次,1120,4249,,G,
口底恶性肿物局部扩大切除术,,330605019,次,1633.60 ,4250,,G,含肿物切除及邻位瓣修复；不含口底部大面积缺损游离皮瓣及带蒂皮瓣修复。
口腔颌面部巨大血管瘤淋巴管瘤切除术,特殊材料,330605020,次,1452.8,4251,,G,
颈面部巨大血管瘤淋巴瘤切除术,特殊材料,330605020-1,次,1452.8,4252,,G,
口腔颌面颈部异物取出术,特殊材料,330605021,次,608,4253,,G,指枪弹、碎屑、玻璃等异物取出。
口咽部恶性肿物局部扩大切除术,,330605022,次,1900,4254,,G,含肿物切除及邻位瓣修复；不含口咽部大面积缺损游离皮瓣及带蒂皮瓣修复。
腭部肿物局部扩大切除术,,330605023,次,960,4255,,G,不含邻位瓣修复。
髁状突肿物切除术,特殊材料,330605024,次,1140,4256,,G,含肿物切除及髁突修整；不含人造关节植入。
颞部肿物切除术,,330605025,次,912,4257,,G,含肿物切除及邻位瓣修复；不含颞部大面积缺损游离皮瓣及带蒂皮瓣修复。
颌骨骨纤维异常增殖症切除成形术,,330605026,次,1520,4258,,G,指适用于颧骨、颧弓手术；含异常骨组织切除及骨及邻近软组织成形术。
腮腺浅叶肿物切除术,,330605027,次,922.40 ,4259,,G,含腮腺区肿物切除，腮腺浅叶切除及面神经解剖术；不含面神经修复术。
腮腺全切除术,,330605028,次,1071.2,4260,,G,含腮腺切除及面神经解剖术；不含面神经修复术。
腮腺深叶肿物切除术,,330605028-1,次,1071.2,4261,,G,含面神经解剖术。
腮腺恶性肿物扩大切除术,,330605029,次,2292.80 ,4262,,G,含腮腺深叶肿物切除，腮腺切除及面神经解剖术；不含面神经修复术。
颌面部血管瘤瘤腔内注射术,,330605030,每部位,144,4263,,G,指注射硬化剂、治疗药物等。
鳃裂囊肿切除术,,330605031,次,904,4264,,G,
鳃裂瘘切除术,,330605031-1,次,904,4265,,G,
涎腺导管结石取石术,,330605032,次,416,4266,,G,
涎腺导管结石取石术加收(涎腺内窥镜),,330605032-1,次,800,4267,,G,
颌下腺导管结石取石术,,330605032-2,次,416,4268,,G,
腮腺导管结石取石术,,330605032-3,次,416,4269,,G,
颌面颈部深部肿物探查术,特殊材料,330605033,次,344,4270,,G,含活检。
颌面颈部深部肿物切除术,特殊材料,330605033-1,次,848,4271,,G,含探查、活检。
舌下腺切除术,,330605034,次,548.00 ,4272,,G,
舌下腺囊肿袋形术,填塞材料,330605035,次,240,4273,,G,
颌下腺切除术,,330605036,次,544,4274,,G,
侵及颅底的颌面部肿瘤颅外扩大根治术,,330605037S,次,3104,4275,,G,不含颅底大面积缺损游离皮瓣及带蒂皮瓣修复。
侵及颅底的其它部位肿物切除术,,330605037S-1,次,3104,4276,,G,不含颅底大面积缺损游离皮瓣及带蒂皮瓣修复。
口腔癌微波固化术,,330605038S,次,1020,4277,,E,
舌癌微波固化术,,330605038S-1,次,1020,4278,,G,
口底癌微波固化术,,330605038S-2,次,1020,4279,,E,
系带成形术,,330606001,次,86.4,4280,,G,指唇或颊或舌系带成形术。
巨舌畸形矫正术,,330606002,次,1064,4281,,G,
舌再造术,,330606003,次,1900,4282,,G,
腭弓成形术,,330606004,次,608,4283,,G,
舌腭弓成形术,,330606004-1,次,608,4284,,G,
咽腭弓成形术,,330606004-2,次,608,4285,,G,
腭帆缩短术,,330606005,次,608,4286,,G,
腭咽成形术,,330606006,次,1034.40 ,4287,,G,
悬雍垂缩短术,,330606007,次,608,4288,,G,
悬雍垂腭咽成形术(UPPP),,330606008,次,608,4289,,G,
悬雍垂腭咽成形术(UPPP)(激光法),,330606008-1,次,1232.80 ,4290,,G,
唇畸形矫正术,特殊植入材料,330606009,次,640,4291,,G,指厚唇、重唇、薄唇、唇瘢痕、唇弓不齐等；不含唇外翻矫正术。
唇缺损修复术,,330606010,次,456,4292,,G,指部分或全唇缺损；不含岛状组织瓣切取移转术。
单侧不完全唇裂修复术,,330606011,次,520,4293,,G,指唇裂修复、初期鼻畸形矫治、唇功能性修复、唇正中裂修复。
双侧不完全唇裂修复术,,330606011-1,次,624,4294,,G,指唇裂修复、初期鼻畸形矫治、唇功能性修复、唇正中裂修复。
单侧完全唇裂修复术,,330606012,次,664,4295,,G,指唇裂修复、初期鼻畸形矫治、唇功能性修复、唇正中裂修复；不含犁骨瓣修复术。
双侧完全唇裂修复术,,330606012-1,次,796.8,4296,,G,指唇裂修复、初期鼻畸形矫治、唇功能性修复、唇正中裂修复；不含犁骨瓣修复术。
犁骨瓣修复术,,330606013,次,640,4297,,G,含犁骨瓣成形及硬腭前部裂隙关闭。
Ⅰ°腭裂兰氏修复术,,330606014,次,1140,4298,,G,指悬雍垂裂、软腭裂、隐裂修复术。
Ⅱ°腭裂兰氏修复术,,330606015,次,1216,4299,,G,指硬、软腭裂修复术。 
单侧Ⅲ°腭裂兰氏修复术,,330606016,次,1368,4300,,G,指单侧完全性腭裂修复术、硬腭鼻腔面犁骨瓣修复术。
双侧Ⅲ°腭裂兰氏修复术,,330606016-1,次,1641.6,4301,,G,指完全性腭裂修复术、硬腭鼻腔面犁骨瓣修复术。
单侧反向双“Z”腭裂修复术,,330606017,次,1120,4302,,G,含腭裂兰氏修复、软腭延长术。 
双侧反向双“Z”腭裂修复术,,330606017-1,次,1344,4303,,G,含腭裂兰氏修复、软腭延长术。 
