结算项目名称,剂型名称,规格,首先自负比例,医疗项目编码,目录等级,药品名称,生产厂家
西药,片剂,2.5mg,0.0%、0.0%,8.69019E+13,甲类,地西泮片,华中药业股份有限公司
西药,口服溶液剂,10ml：0.5g（无糖型）,5.0%、10.0%、0.0%,8.69004E+13,乙类,羧甲司坦口服溶液,广州白云山医药集团股份有限公司白云山制药总厂（国药准字H20073871）
西药,片剂,"对乙酰氨基酚250mg,盐酸金刚烷胺100mg,人工牛黄10mg,咖啡因15mg,马来酸氯苯那敏2mg",100.0%、100.0%、100.0%,8.6904E+13,丙类,复方氨酚烷胺片,青岛黄海制药有限责任公司（国药准字H37023693）
西药,片剂,4mg,5.0%、10.0%、0.0%,86903957000126-1,乙类,盐酸贝尼地平片,华夏药业集团有限公司（国药准字H20051162）
中成药,胶囊剂,每粒装0.33g,5.0%、10.0%、0.0%,8.69029E+13,乙类,屏风生脉胶囊,山西康威制药有限责任公司
西药,薄膜衣片,0.25g,5.0%、10.0%、0.0%,86902461000134-1,乙类,奥硝唑片,华东医药(西安)博华制药有限公司（国药准字H20010514）
中成药,片剂,复方,0.0%、0.0%、0.0%,8.69034E+13,甲类,三七伤药片,吉林省红石药业有限公司
西药,注射剂,0.15g（按C9H13N5O4计）,5.0%、10.0%、0.0%,86905755000988-1,乙类,注射用更昔洛韦,海口奇力制药股份有限公司
西药,片剂,2mg,0.0%、0.0%、0.0%,8.6904E+13,甲类,氯硝西泮片,济南永宁制药股份有限公司（国药准字H37020390）
西药,注射剂,8mg(以盐酸平阳霉素计),0.0%、0.0%、0.0%,8.69035E+13,甲类,注射用盐酸平阳霉素,吉林敖东药业集团延吉股份有限公司（国药准字H20123357）
中成药,片剂,每片重0.6g,100.0%、100.0%,8.69052E+13,丙类,西瓜霜润喉片,桂林三金药业股份有限公司（国药准字Z45021646）
西药,颗粒剂,每袋含葡萄糖酸锌70毫克（以锌计10毫克）,100.0%、100.0%、0.0%,8.69049E+13,丙类,葡萄糖酸锌颗粒,湖南安信制药有限公司
中成药,丸剂,1g,5.0%、10.0%、0.0%,8.69004E+13,乙类,补脾益肠丸,广州白云山陈李济药厂有限公司
西药,颗粒剂,0.1g,0.0%、0.0%、0.0%,8.69041E+13,甲类,阿奇霉素颗粒,  山东华信制药集团股份有限公司
西药,注射剂,0.6g,0.0%、0.0%,86905789000374-1,甲类,注射用克林霉素磷酸酯,海南葫芦娃药业集团股份有限公司
中成药,胶囊剂,每粒装0.35g,100.0%、100.0%、100.0%,8.6906E+13,丙类,祖卡木胶囊,新疆奇康哈博维药股份有限公司（国药准字Z20050848）
中成药,合剂,每支装10毫升,5.0%、10.0%、0.0%,8.69054E+13,乙类,复方鲜竹沥液,江西天施康中药股份有限公司（国药准字Z36021505）
中成药,胶囊剂,每粒装0.25g,5.0%、10.0%、0.0%,8.69055E+13,乙类,心胃止痛胶囊,贵州益佰制药股份有限公司（国药准字Z20163049）
中草药,,,0.0%、0.0%,c1200044,,莱菔子,
西药,注射剂,20ml:13.56g（每1ml含320mg碘）,0.0%、0.0%、0.0%,8.69014E+13,甲类,碘佛醇注射液,江苏恒瑞医药股份有限公司（国药准字H20067895）
中成药,片剂,每片重0.36g,5.0%、10.0%、0.0%,8.69029E+13,乙类,肾衰宁片,山西德元堂药业有限公司（国药准字Z20060030）
西药,滴眼液,2.5ml∶125ug,10.0%、20.0%,86979576000014-1,乙类,(新)拉坦前列素滴眼液,"Taejoon Pharm. Co., Ltd.（H20130640）"
西药,注射剂,10ml:90mg,0.0%、0.0%、0.0%,8.69042E+13,甲类,氯化钠注射液,山东圣鲁制药有限公司（国药准字H20055535）
西药,注射液,2ml:20mg,0.0%、0.0%,8.69032E+13,甲类,法莫替丁注射液,国药集团容生制药有限公司
西药,胶囊剂,20mg,0.0%、0.0%,8.69023E+13,甲类,奥美拉唑肠溶胶囊,四川科伦药业股份有限公司
