结算项目名称,剂型名称,规格,首先自负比例,医疗项目编码,目录等级,药品名称,生产厂家
中成药,片剂,每片重0.25g,5.0%、10.0%、0.0%,8.69011E+13,乙类,湿热痹片,辽宁上药好护士药业(集团)有限公司（国药准字Z20044063）
西药,注射剂,2ml:40mg,5.0%、10.0%、0.0%,8.69058E+13,乙类,奥扎格雷钠注射液,海南碧凯药业有限公司（国药准字H20000216）
中成药,胶囊剂,每粒装0.28g,5.0%、10.0%、0.0%,8.69027E+13,乙类,肿痛安胶囊,河北奥星集团药业有限公司（国药准字Z13021496）
中成药,合剂,每支装10ml,5.0%、10.0%、0.0%,8.69034E+13,乙类,小儿柴桂退热口服液,吉林敖东延边药业股份有限公司
中成药,胶囊剂,每粒装0.3g,100.0%、100.0%、100.0%,86902884000629-1,丙类,龟龄集,山西广誉远国药有限公司（国药准字Z14020687）
西药,片剂,50mg,5.0%、10.0%、0.0%,8.69789E+13,乙类,马来酸氟伏沙明片,Mylan Laboratories SAS（H20160193）
中成药,糖浆剂,每瓶装100ml,100.0%、100.0%,8.69052E+13,丙类,麻杏止咳糖浆,桂林葛仙翁药业有限公司
西药,气雾剂,"每瓶100揿,每揿含丙酸倍氯米松250μg",0.0%、0.0%、0.0%,8.69041E+13,甲类,丙酸倍氯米松气雾剂,山东京卫制药有限公司（国药准字H20059866）
西药,注射剂,100ml:葡萄糖5g与氯化钠0.9g,0.0%、0.0%、0.0%,8.69041E+13,甲类,5%葡萄糖氯化钠注射液100ml（非PVC),青州尧王
中草药,,,0.0%、0.0%,31200386,甲类,灯盏细辛（灯盏花）,
中成药,丸剂,每20丸重1克,100.0%、100.0%、100.0%,8.69031E+13,丙类,四消丸,河南省康华药业股份有限公司
中成药,片剂,每片含维生素C49.5mg、对乙酰氨基酚105mg、马来酸氯苯那敏1.05mg,5.0%、10.0%、0.0%,8.69015E+13,乙类,维C银翘片,江苏康缘药业股份有限公司（国药准字Z32020346）
西药,注射剂,10mg,100.0%、100.0%,8.69019E+13,丙类,注射用胸腺五肽,武汉华龙生物制药有限公司（国药准字H20058515）
西药,片剂,0.25mg,0.0%、0.0%、0.0%,8.69028E+13,甲类,腺苷钴胺片,石药集团欧意药业有限公司
西药,植入剂,11.1～37MBq （0.3～1.0mCi）,5.0%、10.0%、0.0%,8.69002E+13,乙类,碘[125I]密封籽源,原子高科股份有限公司（国药准字H20045969）
西药,片剂,0.3g,5.0%、10.0%、0.0%,8.69787E+13,乙类,奥卡西平片,Novartis Farma S.p.A（国药准字J20140103）
中成药,胶囊剂,每粒装0.4g,5.0%、10.0%、0.0%,86905448000066-1,乙类,舒眠胶囊,贵州大隆药业有限责任公司（国药准字Z20000105）
中成药,大蜜丸,每丸重3g,20.0%、30.0%、0.0%,86903651000033-1,乙类,安脑丸,哈尔滨蒲公英药业有限公司（国药准字Z23020126）
西药,缓释片,30mg,5.0%、10.0%,8.6904E+13,乙类,单硝酸异山梨酯缓释片,齐鲁制药有限公司
中成药,喷雾剂,每瓶装100ml,5.0%、10.0%、0.0%,8.69056E+13,乙类,筋骨伤喷雾剂,贵州远程制药有限责任公司（国药准字Z20025387）
医院制剂,酊,60ml/瓶,,z000018,,复方苯甲酸酊（阳谷县人民医院）,
中成药,胶囊剂,每粒装0.58g,100.0%、100.0%、100.0%,8.69019E+13,丙类,补肾健骨胶囊,健民药业集团股份有限公司（国药准字Z20020056）
中成药,颗粒剂,每袋装10g,0.0%、0.0%、0.0%,8.69004E+13,甲类,口炎清颗粒,广州白云山和记黄埔中药有限公司
中成药,注射剂,每支20ml(含总黄酮100mg),5.0%、10.0%、0.0%,8.69037E+13,乙类,刺五加注射液,多多药业有限公司
西药,注射剂,100ml:0.9g,0.0%、0.0%、0.0%,8.69041E+13,甲类,0.9%氯化钠注射液（双阀）,贝朗医疗
中成药,胶囊剂,每粒装0.5克,5.0%、10.0%、0.0%,8.69059E+13,乙类,前列癃闭通胶囊,青海晶珠藏药高新技术产业股份有限公司（国药准字Z20025304）
西药,注射剂,30ml:90mg,5.0%、10.0%、0.0%,8.6904E+13,乙类,腺苷注射液(供诊断用),蓬莱诺康药业有限公司（国药准字H20174052）
中草药,,,0.0%、0.0%,31200651,甲类,盐杜仲,
西药,注射剂,1.25g（C23H27N5O7S 1.0g与C10H12N4O5S 0.25g）,5.0%、10.0%、0.0%,8.69058E+13,乙类,注射用哌拉西林钠他唑巴坦钠（4:1）,海南通用三洋药业有限公司（国药准字H20110065）
中成药,小蜜丸,每55粒重约9g,5.0%、10.0%、0.0%,8.69026E+13,乙类,摩罗丹,邯郸制药股份有限公司（国药准字Z13021324）
中成药,栓剂,每粒装2.7g,5.0%、10.0%、0.0%,86902371000057-1,乙类,复方沙棘籽油栓,陕西海天制药有限公司（国药准字Z19991076）
西药,胶浆剂,10g:0.2g,5.0%、10.0%、0.0%,8.69015E+13,乙类,盐酸利多卡因胶浆,济川药业集团有限公司（国药准字H10880008）
西药,注射剂,0.275g,5.0%、10.0%、0.0%,8.69029E+13,乙类,注射用萘普生钠,山西普德药业有限公司（国药准字H20052668）
西药,溶液剂,20ml,0.0%、0.0%、0.0%,8.6902E+13,甲类,开塞露(含甘油),武汉五景
西药,滴眼剂,5ml:25mg,0.0%、0.0%、0.0%,8.69041E+13,甲类,马来酸噻吗洛尔滴眼液,山东博士伦福瑞达制药有限公司（国药准字H20023109）
西药,注射液,10ml:119.2mg,5.0%、10.0%、0.0%,8.69041E+13,乙类,甲磺酸罗哌卡因注射液,辰欣药业
西药,片剂,15mg,5.0%、10.0%、0.0%,8.69041E+13,乙类,兰索拉唑肠溶片,山东罗欣药业集团股份有限公司（国药准字H20065317）
中成药,颗粒剂,每袋装2.5克,100.0%、100.0%、100.0%,8.69017E+13,丙类,乐儿康颗粒,苏州华仁太医药业有限公司（国药准字Z20090861）
西药,注射液,250ml:13.98g（总氨基酸）,5.0%、10.0%、0.0%,8.69028E+13,乙类,复方氨基酸注射液(9AA)[250ml:13.98g],石家庄四药有限公司
中成药,胶囊剂,每粒装0.35g,5.0%、10.0%、0.0%,86904990000104-1,乙类,九味肝泰胶囊,湖南新汇制药股份有限公司（国药准字Z20025174）
西药,注射剂,2ml:20mg,100.0%、100.0%,8.69033E+13,丙类,单唾液酸四己糖神经节苷脂钠注射液,吉林英联生物制药股份有限公司（国药准字H20093540）
中成药,滴丸,每丸重23mg(含五味子酯甲计0.082mg),100.0%、100.0%、100.0%,8.69054E+13,丙类,五酯滴丸,南昌弘益药业有限公司（国药准字Z20050707）
西药,注射剂,100万IU/0.8ml/瓶,5.0%、10.0%、0.0%,8.69002E+13,乙类,注射用重组人白介素-2（北京）,北京四环生物制药有限公司
中成药,贴膏剂,----,100.0%、100.0%、100.0%,86901825000230-1,丙类,麝香镇痛膏,湖北康源药业有限公司（国药准字Z42020235）
西药,注射剂,60mg（以C17H19N3O3S计）,5.0%、10.0%、0.0%,8.69058E+13,乙类,注射用奥美拉唑钠,双鹤药业(海南)有限责任公司（国药准字H20090233）
西药,注射剂,80mg,5.0%、10.0%,8.69045E+13,乙类,注射用泮托拉唑钠,杭州中美华东制药有限公司
中草药,,,0.0%、0.0%,31200502,甲类,金荞麦,
中成药,浓缩丸,每8丸相当于原生药3克,0.0%、0.0%、0.0%,8.69044E+13,甲类,补中益气丸,马鞍山天福康药业有限公司（国药准字Z34020664）
西药,片剂,0.25mg,0.0%、0.0%、0.0%,8.69027E+13,甲类,腺苷钴胺片,华北制药股份有限公司（国药准字H13020514）
中成药,丸剂,每15丸丸心重1.7g,5.0%、10.0%、0.0%,86904134000083-1,乙类,健脑补肾丸,荣昌制药有限公司
西药,片剂,20mg（按C21H27NO计）,5.0%、10.0%、0.0%,8.69037E+13,乙类,磷酸苯丙哌林片,上海皇象铁力蓝天制药有限公司
中成药,胶囊剂,每粒装0.4g,100.0%、100.0%、100.0%,8.69027E+13,丙类,前列解毒胶囊,石家庄科迪药业有限公司（国药准字Z20020140）
西药,注射剂,"250ml:甘油25g,果糖12.5g,氯化钠2.25g",0.0%、0.0%、0.0%,8.69791E+13,甲类,甘油果糖氯化钠注射液,南光化学制药股份有限公司（HC20170004）
中草药,,,0.0%、0.0%,31200376,甲类,合欢皮,
西药,胶囊剂,每粒含甘氨酸茶碱钠（相当于无水茶碱150mg）愈创木酚甘油醚100mg,100.0%、100.0%、100.0%,8.69034E+13,丙类,复方甘氨酸茶碱钠胶囊,吉林省辉南长龙生化药业股份有限公司
西药,软胶囊,0.1g,5.0%、10.0%、0.0%,8.69041E+13,乙类,维生素E软胶囊（天然型）,青岛双鲸药业有限公司（国药准字H20043134）
中成药,浓缩丸,每丸重60mg,5.0%、10.0%、0.0%,86900491000421-1,乙类,心宝丸,广东太安堂药业股份有限公司（国药准字Z44022728）
中成药,浓缩丸,每10粒重2克,100.0%、100.0%、100.0%,8.6902E+13,丙类,鼻渊丸,武汉太福制药有限公司（国药准字Z42021862）
中成药,薄膜衣片,每片重0.32g(相当于饮片0.6g),0.0%、0.0%、0.0%,8.6902E+13,甲类,复方丹参片,武汉太福制药有限公司（国药准字Z42021866）
中成药,胶囊剂,每粒装0.25g,0.0%、0.0%、0.0%,86902364000620-1,甲类,华蟾素胶囊,陕西东泰制药有限公司
西药,片剂,1mg（按C19H19NOS计）,5.0%、10.0%、0.0%,8.69015E+13,乙类,富马酸酮替芬片,江苏云阳集团药业有限公司
西药,胶囊剂,0.4g,0.0%、0.0%、0.0%,8.69025E+13,甲类,硝酸咪康唑阴道软胶囊,Catalent France Beinheim S.A.（国药准字J20160028）
西药,片剂,0.1g,5.0%、10.0%、0.0%,8.69009E+13,乙类,马来酸曲美布汀片,天津田边制药有限公司（国药准字H20030290）
西药,片剂,25mg,5.0%、10.0%、0.0%,8.69014E+13,乙类,氯氮平口腔崩解片,江苏恩华药业股份有限公司（国药准字H20100105）
中成药,搽剂,每瓶装25ml,100.0%、100.0%、100.0%,8.69005E+13,丙类,依马打正红花油,深圳金活利生药业有限公司（国药准字Z20063286）
西药,注射剂,1.0g（按C16H17N5O7S2计算）,0.0%、0.0%、0.0%,8.6905E+13,甲类,注射用头孢噻肟钠,湖南科伦制药有限公司（国药准字H20059227）
西药,注射剂,200mg,0.0%、10.0%、20.0%,8.6982E+13,乙类,注射用替考拉宁,Sanofi S.p.A（国药准字J20171006）
西药,注射剂,100ml:5g,0.0%、0.0%、0.0%,86904110000113-1,甲类,葡萄糖注射液,贝朗医疗（山东）有限公司
西药,片剂,0.3g,5.0%、10.0%、0.0%,8.69787E+13,乙类,奥卡西平片,Novartis Farma S.p.A.（H20171033）
中成药,水丸,每20粒重1g,5.0%、10.0%、0.0%,8.69021E+13,乙类,西黄丸,九寨沟天然药业集团有限责任公司（国药准字Z51021028）
西药,片剂,5mg(以托法替布计),20.0%、30.0%,86978724001163-1,乙类,枸橼酸托法替布片,Pfizer Manufacturing Deutschland GmbH
西药,注射剂, 2ml:0.2g,0.0%、0.0%、0.0%,86904166000099-1,甲类,硫酸阿米卡星注射液,山东鲁抗医药集团赛特有限责任公司
医院制剂,,,10.0%、5.0%,c1300048,,棕铵合剂,
西药,注射剂,0.75g（按C13H13N5O5S2计）,5.0%、10.0%、0.0%,8.69037E+13,乙类,注射用头孢唑肟钠,哈药集团制药总厂（国药准字H20041917）
西药,注射剂,1ml:0.4mg,0.0%、0.0%、0.0%,8.69001E+13,甲类,盐酸纳洛酮注射液,北京华素制药股份有限公司（国药准字H10900021）
西药,片剂,2mg,5.0%、10.0%、0.0%,8.69016E+13,乙类,酒石酸托特罗定片,南京美瑞制药有限公司（国药准字H20000602）
西药,胶囊剂,100mg,5.0%、10.0%、0.0%,8.69001E+13,乙类,吡非尼酮胶囊,北京康蒂尼药业有限公司（国药准字H20133376）
西药,滴眼剂,15ml:0.8mg,5.0%、10.0%、0.0%,8.6902E+13,乙类,吡诺克辛钠滴眼液,湖北远大天天明制药有限公司（国药准字H19993301）
中草药,,,0.0%、0.0%,31200138,甲类,丁公藤,
西药,注射液,10ml:2.5g,0.0%、0.0%、0.0%,86903205000250-1,甲类,硫酸镁注射液[10ml:2.5g*5支],国药集团容生制药有限公司
西药,片剂,2mg,0.0%、0.0%、0.0%,8.69E+13,甲类,格列美脲,北京北陆药业股份有限公司
西药,注射剂,0.25g,5.0%、10.0%、0.0%,8.69047E+13,乙类,注射用阿昔洛韦,浙江亚太药业股份有限公司（国药准字H20043811）
西药,注射剂,2ml:0.1g（以左氧氟沙星计）,0.0%、0.0%、0.0%,8.69041E+13,甲类,盐酸左氧氟沙星注射液,辰欣药业股份有限公司（国药准字H20066458）
西药,胶囊,25mg,5.0%、10.0%、0.0%,8.69016E+13,乙类,沙利度胺胶囊,苏州长征-欣凯制药有限公司（国药准字H20100186）
中成药,薄膜衣片,薄膜衣片:每片重0.4g,100.0%、100.0%,8.69026E+13,丙类,复方石韦片,颈复康药业集团有限公司
西药,注射剂,0.3g,5.0%、10.0%、0.0%,8.69015E+13,乙类,注射用比阿培南,正大天晴药业集团股份有限公司（国药准字H20080743）
西药,注射剂,500ml,0.0%、0.0%、0.0%,8.69041E+13,甲类,乳酸钠林格注射液,山东齐都药业有限公司（国药准字H20023278）
中成药,糖浆剂,每瓶装150ml,5.0%、10.0%、0.0%,8.69002E+13,乙类,川贝枇杷糖浆,北京同仁堂科技发展股份有限公司制药厂（国药准字Z11020980）
西药,注射液,100ml:0.9g(0.9%),0.0%、0.0%,8.69046E+13,甲类,氯化钠注射液,浙江国镜药业有限公司
西药,注射剂,10μg（0.25 mg,0.0%、20.0%、30.0%,8.69791E+13,乙类,艾塞那肽注射液,Baxter Pharmaceutical Solutions LLC（H20140822）
中成药,颗粒剂,每袋装3g,5.0%、10.0%、0.0%,8.69011E+13,乙类,小儿肺咳颗粒,天圣制药集团股份有限公司（国药准字Z20027416）
西药,肠溶片,15mg,5.0%、10.0%、0.0%,86902470001184-1,乙类,胸腺肽肠溶片,西安迪赛生物药业有限责任公司（国药准字H19991176）
西药,滴眼剂,5ml:15mg（按左氧氟沙星计）,0.0%、0.0%、0.0%,8.6901E+13,甲类,左氧氟沙星,重庆科瑞制药(集团)有限公司
中成药,片剂,每片重0.60g,5.0%、10.0%、0.0%,8.69013E+13,乙类,固本益肠片,沈阳绿洲制药有限责任公司（国药准字Z10940035）
西药,注射剂,0.12g,5.0%、10.0%、0.0%,8.69037E+13,乙类,注射用盐酸川芎嗪,哈尔滨三联药业股份有限公司（国药准字H20030553）
中成药,丸剂,3g,0.0%、0.0%,8.69024E+13,甲类,小活络丸,陕西汉王药业有限公司
西药,胶囊剂,80mg*28粒/盒,0.0%、0.0%,86900560000031-2,甲类,缬沙坦胶囊,天大药业(珠海)有限公司
西药,注射剂,20ml：0.2g,5.0%、10.0%、0.0%,8.69096E+13,乙类,丙泊酚中/长链脂肪乳注射液,四川国瑞药业有限责任公司（国药准字H20143252）
中成药,胶囊剂,每粒装0.4g,5.0%、10.0%、0.0%,8.69055E+13,乙类,益心舒胶囊,贵州信邦制药股份有限公司（国药准字Z52020038）
中草药,,,0.0%、0.0%,31200859,甲类,煅青礞石,
西药,注射剂,500mg,5.0%、10.0%、0.0%,8.69784E+13,乙类,注射用盐酸万古霉素,VIANEX S.A.(PLANT C)（H20140174）
中成药,胶囊剂,每粒装0.25g,5.0%、10.0%、0.0%,8.69055E+13,乙类,枇杷止咳胶囊,贵州神奇药业有限公司（国药准字Z20055157）
中成药,合剂,每支装10ml,5.0%、10.0%、0.0%,8.6902E+13,乙类,活力苏口服液,成都泰合健康科技集团股份有限公司华神制药厂（国药准字Z51020209）
中成药,口服液,每支装10ml,100.0%、100.0%、100.0%,8.69033E+13,丙类,振源口服液,长春大政药业科技有限公司（国药准字Z20053381）
中成药,口服液,每支装10ml,5.0%、10.0%、0.0%,8.69011E+13,乙类,九味双解口服液,吉林恒金药业股份有限公司（国药准字Z20010001）
西药,滴眼液,0.6ml：12mg,5.0%、10.0%,8.6901E+13,乙类,盐酸卡替洛尔滴眼液,中国大冢制药有限公司
西药,片剂,－－－－,100.0%、100.0%、100.0%,8.69783E+13,丙类,左炔诺孕酮炔雌醇（三相）片,Bayer Vital GmbH（H20090486）
西药,注射剂,60mg,5.0%、10.0%、0.0%,8.69003E+13,乙类,注射用环磷腺苷,广东华润顺峰药业有限公司（国药准字H20066682）
西药,胶囊剂,150mg,5.0%、10.0%、0.0%,8.69783E+13,乙类,达比加群酯胶囊,Boehringer Ingelheim International GmbH（国药准字J20130065）
西药,注射剂,1ml:5mg（以托烷司琼计）,5.0%、10.0%、0.0%,8.6904E+13,乙类,盐酸托烷司琼注射液,齐鲁制药有限公司（国药准字H20050535）
中成药,胶囊剂,每粒装0.31g,5.0%、10.0%、0.0%,8.69063E+13,乙类,通痹胶囊,山东润中制药
中成药,大蜜丸,每丸重1.6g,0.0%、0.0%、0.0%,8.69002E+13,甲类,牛黄降压丸,北京同仁堂科技发展股份有限公司制药厂（国药准字Z11020199）
西药,片剂,每粒含对乙酰氨基酚250mg、咖啡因15mg、马来酸氯苯那敏1mg、人工牛黄10mg,5.0%、10.0%、0.0%,8.69012E+13,乙类,孟鲁司特钠咀嚼片,鲁南制药厂
西药,片剂,20mg（以苯丙哌林计）,5.0%、10.0%、0.0%,86904165000687-1,乙类,磷酸苯丙哌林片,山东信谊制药有限公司
西药,片剂,每片含:对乙酰氨基酚0.5g与酒石酸双氢可待因10mg,5.0%、10.0%、0.0%,86904219000014-3,乙类,氨酚双氢可待因片,威海路坦制药有限公司（国药准字H20030920）
西药,分散片,40mg,0.0%、0.0%、0.0%,8.6904E+13,甲类,醋酸甲地孕酮分散片,青岛国海生物制药有限公司（国药准字H20073644）
西药,注射剂,0.1g（以亚叶酸计）,0.0%、0.0%、0.0%,8.69003E+13,甲类,亚叶酸钙注射剂,广东岭南制药有限公司
西药,冻干粉针剂,0.25g（25万单位）,5.0%、10.0%、0.0%,8.69047E+13,乙类,注射用阿奇霉素,浙江金华康恩贝生物制药
西药,外用溶液剂,150ml:0.15g（0.10%）,100.0%、100.0%、100.0%,8.69005E+13,丙类,苯扎氯铵溶液,广东洛斯特制药有限公司（国药准字H20063993）
西药,片剂,0.4g,100.0%、100.0%、100.0%,86904203000044-1,丙类,阿昔洛韦咀嚼片,山东淄博新达制药有限公司（国药准字H20020112）
西药,冻干粉针剂,1200万单位（1.5mg）/瓶,5.0%、10.0%、0.0%,86900148000552-1,乙类,注射用重组人白介素-11,北京双鹭药业股份有限公司
西药,注射剂,30mg,0.0%、0.0%,8.69031E+13,甲类,注射用法莫替丁,开封康诺药业有限公司
西药,片剂,0.2g,100.0%、100.0%、100.0%,8.69007E+13,丙类,西咪替丁片,上海信谊天平药业有限公司
西药,胶囊剂,400mg,5.0%、10.0%、0.0%,8.69795E+13,乙类,氯膦酸二钠胶囊,Bayer Oy（H20150668）
西药,胶囊剂,每粒含对乙酰氨基酚250毫克、盐酸金刚烷胺100毫克、马来酸氯苯那敏2毫克、人工牛黄10毫克、咖啡因15毫克,100.0%、100.0%、100.0%,8.69032E+13,丙类,复方氨酚烷胺胶囊,河南中杰药业有限公司
西药,注射剂,0.25g,5.0%、10.0%,8.69021E+13,乙类,注射用更昔洛韦,峨眉山通惠制药有限公司
中成药,颗粒剂,14g,5.0%、10.0%,8.69051E+13,乙类,复方感冒灵颗粒,广西双蚁药业有限公司
西药,注射剂,100ml:葡萄糖5g与氯化钠0.9g,0.0%、0.0%、0.0%,8.6902E+13,甲类,葡萄糖氯化钠注射液,宜昌三峡制药有限公司（国药准字H20123124）
西药,注射剂,1ml:1mg,5.0%、10.0%、0.0%,8.6902E+13,乙类,盐酸戊乙奎醚注射液,成都力思特制药股份有限公司（国药准字H20020606）
西药,注射剂,按C13H13N5O5S2计0.75g,5.0%、10.0%、0.0%,8.69005E+13,乙类,注射用头孢唑肟钠,汕头金石粉针剂有限公司（国药准字H20073187）
中成药,胶囊剂,0.5g,5.0%、10.0%,8.69023E+13,乙类,乳康胶囊,安康北医大制药股份有限公司
西药,滴眼剂,8ml:0.16g,5.0%、10.0%、0.0%,8.69041E+13,乙类,色甘酸钠滴眼液,山东博士伦福瑞达制药有限公司（国药准字H20023108）
医院制剂,,250ml,5.0%、5.0%,31300047,,清热解毒合剂,
西药,片剂,10mg,5.0%、10.0%、0.0%,8.69783E+13,乙类,利伐沙班片,Bayer Pharma AG（H20140133）
西药,注射剂,2ml:100mg,0.0%、0.0%、0.0%,8.69012E+13,甲类,盐酸哌替啶注射液,东北制药集团沈阳第一制药有限公司（国药准字H21022413）
中成药,滴丸,每丸含银杏酮酯5mg,5.0%、10.0%、0.0%,8.69029E+13,乙类,银杏酮酯滴丸,山西千汇药业有限公司（国药准字Z20050220）
西药,注射液,5ml:50mg,5.0%、10.0%,86901930000330-2,乙类,氟比洛芬酯,武汉大安制药有限公司
西药,胶囊剂,每粒含盐酸二甲双胍250mg与格列本脲1.25mg,100.0%、100.0%、100.0%,8.69005E+13,丙类,二甲双胍格列本脲胶囊,华润三九医药股份有限公司（国药准字H20130012）
西药,片剂,4mg,0.0%、0.0%、0.0%,8.69047E+13,甲类,醋酸甲萘氢醌片,浙江瑞新药业股份有限公司（国药准字H33021128）
中成药,大蜜丸,每丸重9克,5.0%、10.0%、0.0%,8.69028E+13,乙类,人参归脾丸,药都制药集团股份有限公司
西药,片剂,75mg（以C18H33ClN2O5S计）,0.0%、0.0%、0.0%,86901012000128-1,甲类,盐酸克林霉素棕榈酸酯分散片,广州一品红制药有限公司（国药准字H20030434）
中草药,,,0.0%、0.0%,c1200070,,胡椒,
西药,注射剂,1.5g(头孢噻肟1.0g和舒巴坦0.5g),100.0%、100.0%,8.6905E+13,丙类,注射用头孢噻肟钠舒巴坦钠,湘北威尔曼制药股份有限公司（国药准字H20090095）
西药,片剂,2.5mg,100.0%、100.0%、100.0%,8.69042E+13,丙类,复方地芬诺酯,仁和堂药业有限公司
西药,滴眼剂,5ml:25mg,5.0%、10.0%、0.0%,8.6979E+13,乙类,盐酸左布诺洛尔滴眼液,Allergan Pharmaceuticals Ireland（H20130765）
西药,注射剂,100ml：左奥硝唑0.5g与氯化钠0.83g,10.0%、20.0%、0.0%,8.69016E+13,乙类,左奥硝唑氯化钠注射液,南京圣和药业股份有限公司（国药准字H20090295）
西药,注射剂,0.5g,5.0%、10.0%、0.0%,8.69012E+13,乙类,注射用左卡尼汀,锦州九泰药业有限责任公司（国药准字H20041552）
中草药,,,0.0%、0.0%,c1200065,,广藿香,
西药,注射剂,500mg,5.0%、10.0%、0.0%,8.69048E+13,乙类,注射用丁二磺酸腺苷蛋氨酸,浙江震元制药有限公司（国药准字H20143203）
西药,注射剂,0.37-7.4GBq,100.0%、100.0%、100.0%,8.69002E+13,丙类,氟[18F]脱氧葡糖注射液,原子高科股份有限公司（国药准字H20050441）
西药,注射剂,0.25g,100.0%、100.0%、100.0%,8.69047E+13,丙类,注射用喷昔洛韦,浙江尖峰药业有限公司（国药准字H20070186）
西药,栓剂,0.5mg,5.0%、10.0%,86901162000337-1,乙类,(新)卡前列甲酯栓,东北制药集团沈阳第一制药有限公司（国药准字H10800007）
西药,注射剂,50mg,5.0%、10.0%、0.0%,8.69018E+13,乙类,注射用更昔洛韦,湖北科益药业股份有限公司（国药准字H10980189）
西药,冻干粉针剂,0.2g（以培美曲塞计）,5.0%、10.0%、0.0%,8.6904E+13,乙类,注射用培美曲塞二钠,齐鲁制药有限公司（国药准字H20060672）
西药,注射剂,100iu 1ml 5支/盒,5.0%、10.0%,8.69001E+13,乙类,鲑降钙素,银谷制药有限责任公司
中草药,,,0.0%、0.0%,31200060,,高良姜,
西药,片剂,每片含钙500mg,100.0%、100.0%、100.0%,86900076000051-1,丙类,碳酸钙D3片（Ⅱ）,北京康远制药有限公司（国药准字H20093675）
西药,片剂,0.1g,0.0%、0.0%、0.0%,8.69042E+13,甲类,盐酸小檗碱片,仁和堂药业有限公司（国药准字H37022610）
中成药,片剂,片心重0.25g,100.0%、100.0%、100.0%,8.69031E+13,丙类,宁神补心片,河南信心药业有限公司（国药准字Z41021890）
西药,片剂,0.25g,5.0%、10.0%、0.0%,8.69058E+13,乙类,头孢克洛片,海口市制药厂有限公司（国药准字H20083696）
西药,软膏剂,每克含酮康唑10mg和丙酸氯倍他索0.5mg,100.0%、100.0%,8.69056E+13,丙类,复方酮康唑软膏,滇虹药业集团股份有限公司（国药准字H53022106）
西药,注射剂,2ml:0.15g（以克林霉素计）,0.0%、0.0%,8.69021E+13,甲类,盐酸克林霉素注射液,四川美大康华康药业有限公司
西药,片剂,每片400mg含草木犀流浸液25mg,100.0%、100.0%、100.0%,86979108000062-1,丙类,草木犀流浸液片,生晃荣养药品株式会社（H20160144）
西药,片剂,每片含对乙酰氨基酚0.15g与氯唑沙宗0.125g,5.0%、10.0%、0.0%,8.6904E+13,乙类,复方氯唑沙宗分散片,鲁南贝特制药有限公司（国药准字H20050180）
中成药,颗粒剂,每袋装3g（含黄芩苷20mg）,0.0%、0.0%、0.0%,8.69038E+13,甲类,清开灵颗粒,哈尔滨一洲制药有限公司（国药准字Z10930010）
西药,口服溶液剂,每支装10ml,100.0%、100.0%、100.0%,8.69053E+13,丙类,氨咖黄敏口服溶液,江西和盈药业有限公司（国药准字H20058569）
西药,粉剂,320g,5.0%、10.0%、0.0%,8.69791E+13,乙类,整蛋白型肠内营养剂（粉剂）,Milupa GmbH（H20170172）
中成药,片剂,10mg,0.0%、0.0%、0.0%,8.69007E+13,甲类,雷公藤多苷片,上海复旦复华药业有限公司（国药准字Z31020415）
西药,滴剂,0.1,5.0%、10.0%、0.0%,8.69058E+13,乙类,对乙酰氨基酚滴剂,海南万州绿色制药
西药,片剂,0.1g（以左氧氟沙星计）,0.0%、0.0%、0.0%,8.69041E+13,甲类,盐酸左氧氟沙星片,山东罗欣药业集团股份有限公司（国药准字H20044979）
西药,片剂,2.5mg,0.0%、0.0%、0.0%,8.6904E+13,甲类,格列本脲片,蓬莱诺康药业有限公司（国药准字H37020543）
西药,片剂,本品每片含对乙酰氨基酚30mg;葡萄糖酸锌21mg。,5.0%、10.0%、0.0%,8.69026E+13,乙类,复方氨酚葡锌片,河北恒利集团制药股份有限公司(国药准字H20043883)
中成药,浓缩丸,每8丸相当于原药材3g,0.0%、0.0%、0.0%,8.69044E+13,甲类,香砂养胃丸,安徽延寿堂药业有限公司(国药准字Z34020686)
中成药,片剂,每片含三七0.25g(小片),0.0%、0.0%、0.0%,8.69018E+13,甲类,三七片,湖北诺得胜制药有限公司(国药准字Z42022007)
西药,干混悬剂,每袋含阿莫西林0.2g与克拉维酸28.5mg,0.0%、0.0%、0.0%,8.69004E+13,甲类,阿莫西林克拉维酸钾干混悬剂,广州白云山医药集团股份有限公司白云山制药总厂
西药,乳剂,500ml,5.0%、10.0%、0.0%,8.6979E+13,乙类,肠内营养乳剂（TPF-T）,Fresenius Kabi Deutschland GmbH（国药准字J20130177）
中成药,胶囊剂,每粒装0.5g,5.0%、10.0%、0.0%,8.69004E+13,乙类,双丹胶囊,广州莱泰制药有限公司（国药准字Z10980113）
西药,片剂,100mg,10.0%、20.0%、0.0%,8.69786E+13,乙类,磷酸西格列汀片,Merck Sharp & Dohme Ltd.（H20140385）
西药,片剂,20mg,10.0%、20.0%、0.0%,8.6902E+13,乙类,盐酸曲美他嗪片,远大医药(中国)有限公司（国药准字H20083806）
西药,注射剂,1.0g,0.0%、0.0%、0.0%,8.69047E+13,甲类,注射用氨甲环酸,浙江金华康恩贝生物制药有限公司（国药准字H20031172）
西药,软膏剂,复方,100.0%、100.0%、100.0%,8.69049E+13,丙类,复方硝酸咪康唑软膏,漳州无极药业有限公司（国药准字H10950334）
